,Age,Country,LanguageHaveWorkedWith,LearnCode
180,45-54 years old,United States of America,C;C#;C++;Java;JavaScript;Perl;PHP;PowerShell;SQL;TypeScript;VBA,Books / Physical media;Other (please specify):
181,25-34 years old,Brazil,Java;Kotlin;Python;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification;Coding Bootcamp"
182,45-54 years old,United States of America,C;C#;C++;Fortran;Java;Objective-C;Swift;VBA,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);Colleague"
183,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Go;Java;Python;SQL,"School (i.e., University, College, etc)"
184,45-54 years old,United Kingdom of Great Britain and Northern Ireland,Bash/Shell;C#;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;SQL,"Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification"
185,18-24 years old,United Kingdom of Great Britain and Northern Ireland,C++;Go;Groovy;Java;JavaScript;PHP;Python;SQL,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification"
186,35-44 years old,Germany,Bash/Shell;C;Erlang;Python;Rust;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);Coding Bootcamp"
187,65 years or older,Germany,Delphi;SQL,"Books / Physical media;School (i.e., University, College, etc)"
188,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bash/Shell;HTML/CSS;JavaScript;PHP;SQL;TypeScript,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training"
189,25-34 years old,Israel,Go,"Other online resources (e.g., videos, blogs, forum);Online Courses or Certification"
190,,,,
